108.171.131.176,2000
107.0.48.208,547
100.2.102.186,384
107.77.71.235,347
107.77.77.230,345
107.77.71.227,330
101.100.4.126,322
107.107.61.230,321
107.77.71.229,316
107.77.77.236,309
